index,Lo,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,time
116,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:55:41.800000000
117,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:56:10.600000000
118,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:56:39.400000000
119,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:57:08.200000000
120,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:57:37.000000000
121,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:58:05.800000000
122,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:58:34.600000000
123,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:59:03.400000000
124,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:59:32.200000000
125,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:00:01.000000000
126,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:00:29.800000000
127,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:00:58.600000000
128,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:01:27.400000000
129,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:01:56.200000000
130,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:02:25.000000000
131,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:02:53.800000000
132,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:03:22.600000000
133,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:03:51.400000000
134,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:04:20.200000000
135,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:04:49.000000000
136,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:05:17.800000000
137,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:05:46.600000000
138,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:06:15.400000000
139,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 01:06:44.200000000
